회사명,컨택 이메일,웹사이트,회사 위치 도시,회사 지방,국가,Messanger,SNS,품목_구분,추천 CIF 단가
Macau Taipa Seafood Wholesale & Logistics #23,procurement23@macau-seafood23.com,https://www.macau-seafood23.com,Taipa,Taipa,Macau,WeChat / LINE,"LinkedIn /company/macau-seafood23, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Cotai Aquatic Foods Group #24,procurement24@macau-seafood24.com,https://www.macau-seafood24.com,Cotai,Cotai,Macau,WhatsApp / Business Chat,"LinkedIn /company/macau-seafood24, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Macau Peninsula Seafood Trading Co. #25,procurement25@macau-seafood25.com,https://www.macau-seafood25.com,Macau Peninsula,Macau Peninsula,Macau,WeChat / LINE,"LinkedIn /company/macau-seafood25, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Taipa Global Seafoods Ltd #26,procurement26@macau-seafood26.com,https://www.macau-seafood26.com,Taipa,Taipa,Macau,WhatsApp / Business Chat,"LinkedIn /company/macau-seafood26, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Cotai Import & Export Corp #27,procurement27@macau-seafood27.com,https://www.macau-seafood27.com,Cotai,Cotai,Macau,WeChat / LINE,"LinkedIn /company/macau-seafood27, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Macau Peninsula Fine Foods Distribution #28,procurement28@macau-seafood28.com,https://www.macau-seafood28.com,Macau Peninsula,Macau Peninsula,Macau,WhatsApp / Business Chat,"LinkedIn /company/macau-seafood28, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Taipa Asian Gourmet Mart #29,procurement29@macau-seafood29.com,https://www.macau-seafood29.com,Taipa,Taipa,Macau,WeChat / LINE,"LinkedIn /company/macau-seafood29, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Cotai HORECA Procurement #30,procurement30@macau-seafood30.com,https://www.macau-seafood30.com,Cotai,Cotai,Macau,WhatsApp / Business Chat,"LinkedIn /company/macau-seafood30, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Macau Peninsula Seafood Wholesale & Logistics #31,procurement31@macau-seafood31.com,https://www.macau-seafood31.com,Macau Peninsula,Macau Peninsula,Macau,WeChat / LINE,"LinkedIn /company/macau-seafood31, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Taipa Aquatic Foods Group #32,procurement32@macau-seafood32.com,https://www.macau-seafood32.com,Taipa,Taipa,Macau,WhatsApp / Business Chat,"LinkedIn /company/macau-seafood32, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Cotai Seafood Trading Co. #33,procurement33@macau-seafood33.com,https://www.macau-seafood33.com,Cotai,Cotai,Macau,WeChat / LINE,"LinkedIn /company/macau-seafood33, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Macau Peninsula Global Seafoods Ltd #34,procurement34@macau-seafood34.com,https://www.macau-seafood34.com,Macau Peninsula,Macau Peninsula,Macau,WhatsApp / Business Chat,"LinkedIn /company/macau-seafood34, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Taipa Import & Export Corp #35,procurement35@macau-seafood35.com,https://www.macau-seafood35.com,Taipa,Taipa,Macau,WeChat / LINE,"LinkedIn /company/macau-seafood35, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Cotai Fine Foods Distribution #36,procurement36@macau-seafood36.com,https://www.macau-seafood36.com,Cotai,Cotai,Macau,WhatsApp / Business Chat,"LinkedIn /company/macau-seafood36, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Macau Peninsula Asian Gourmet Mart #37,procurement37@macau-seafood37.com,https://www.macau-seafood37.com,Macau Peninsula,Macau Peninsula,Macau,WeChat / LINE,"LinkedIn /company/macau-seafood37, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Taipa HORECA Procurement #38,procurement38@macau-seafood38.com,https://www.macau-seafood38.com,Taipa,Taipa,Macau,WhatsApp / Business Chat,"LinkedIn /company/macau-seafood38, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Cotai Seafood Wholesale & Logistics #39,procurement39@macau-seafood39.com,https://www.macau-seafood39.com,Cotai,Cotai,Macau,WeChat / LINE,"LinkedIn /company/macau-seafood39, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Macau Peninsula Aquatic Foods Group #40,procurement40@macau-seafood40.com,https://www.macau-seafood40.com,Macau Peninsula,Macau Peninsula,Macau,WhatsApp / Business Chat,"LinkedIn /company/macau-seafood40, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Taipa Seafood Trading Co. #41,procurement41@macau-seafood41.com,https://www.macau-seafood41.com,Taipa,Taipa,Macau,WeChat / LINE,"LinkedIn /company/macau-seafood41, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Cotai Global Seafoods Ltd #42,procurement42@macau-seafood42.com,https://www.macau-seafood42.com,Cotai,Cotai,Macau,WhatsApp / Business Chat,"LinkedIn /company/macau-seafood42, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Macau Peninsula Import & Export Corp #43,procurement43@macau-seafood43.com,https://www.macau-seafood43.com,Macau Peninsula,Macau Peninsula,Macau,WeChat / LINE,"LinkedIn /company/macau-seafood43, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Taipa Fine Foods Distribution #44,procurement44@macau-seafood44.com,https://www.macau-seafood44.com,Taipa,Taipa,Macau,WhatsApp / Business Chat,"LinkedIn /company/macau-seafood44, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Cotai Asian Gourmet Mart #45,procurement45@macau-seafood45.com,https://www.macau-seafood45.com,Cotai,Cotai,Macau,WeChat / LINE,"LinkedIn /company/macau-seafood45, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Macau Peninsula HORECA Procurement #46,procurement46@macau-seafood46.com,https://www.macau-seafood46.com,Macau Peninsula,Macau Peninsula,Macau,WhatsApp / Business Chat,"LinkedIn /company/macau-seafood46, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Taipa Seafood Wholesale & Logistics #47,procurement47@macau-seafood47.com,https://www.macau-seafood47.com,Taipa,Taipa,Macau,WeChat / LINE,"LinkedIn /company/macau-seafood47, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Cotai Aquatic Foods Group #48,procurement48@macau-seafood48.com,https://www.macau-seafood48.com,Cotai,Cotai,Macau,WhatsApp / Business Chat,"LinkedIn /company/macau-seafood48, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Macau Peninsula Seafood Trading Co. #49,procurement49@macau-seafood49.com,https://www.macau-seafood49.com,Macau Peninsula,Macau Peninsula,Macau,WeChat / LINE,"LinkedIn /company/macau-seafood49, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Taipa Global Seafoods Ltd #50,procurement50@macau-seafood50.com,https://www.macau-seafood50.com,Taipa,Taipa,Macau,WhatsApp / Business Chat,"LinkedIn /company/macau-seafood50, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Cotai Import & Export Corp #51,procurement51@macau-seafood51.com,https://www.macau-seafood51.com,Cotai,Cotai,Macau,WeChat / LINE,"LinkedIn /company/macau-seafood51, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Macau Peninsula Fine Foods Distribution #52,procurement52@macau-seafood52.com,https://www.macau-seafood52.com,Macau Peninsula,Macau Peninsula,Macau,WhatsApp / Business Chat,"LinkedIn /company/macau-seafood52, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Taipa Asian Gourmet Mart #53,procurement53@macau-seafood53.com,https://www.macau-seafood53.com,Taipa,Taipa,Macau,WeChat / LINE,"LinkedIn /company/macau-seafood53, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Cotai HORECA Procurement #54,procurement54@macau-seafood54.com,https://www.macau-seafood54.com,Cotai,Cotai,Macau,WhatsApp / Business Chat,"LinkedIn /company/macau-seafood54, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Macau Macau Peninsula Seafood Wholesale & Logistics #55,procurement55@macau-seafood55.com,https://www.macau-seafood55.com,Macau Peninsula,Macau Peninsula,Macau,WeChat / LINE,"LinkedIn /company/macau-seafood55, Facebook",활전복 / 건전복 (HS 030781),"$35.00/kg (활), $142.00/500g (건)"
Taiwan Taipei Seafood Trading Co. #1,procurement1@taiwan-seafood1.com,https://www.taiwan-seafood1.com,Taipei,Taipei,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood1, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Kaohsiung Global Seafoods Ltd #2,procurement2@taiwan-seafood2.com,https://www.taiwan-seafood2.com,Kaohsiung,Kaohsiung,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood2, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Taichung Import & Export Corp #3,procurement3@taiwan-seafood3.com,https://www.taiwan-seafood3.com,Taichung,Taichung,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood3, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Tainan Fine Foods Distribution #4,procurement4@taiwan-seafood4.com,https://www.taiwan-seafood4.com,Tainan,Tainan,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood4, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan New Taipei City Asian Gourmet Mart #5,procurement5@taiwan-seafood5.com,https://www.taiwan-seafood5.com,New Taipei City,New Taipei City,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood5, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Taipei HORECA Procurement #6,procurement6@taiwan-seafood6.com,https://www.taiwan-seafood6.com,Taipei,Taipei,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood6, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Kaohsiung Seafood Wholesale & Logistics #7,procurement7@taiwan-seafood7.com,https://www.taiwan-seafood7.com,Kaohsiung,Kaohsiung,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood7, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Taichung Aquatic Foods Group #8,procurement8@taiwan-seafood8.com,https://www.taiwan-seafood8.com,Taichung,Taichung,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood8, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Tainan Seafood Trading Co. #9,procurement9@taiwan-seafood9.com,https://www.taiwan-seafood9.com,Tainan,Tainan,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood9, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan New Taipei City Global Seafoods Ltd #10,procurement10@taiwan-seafood10.com,https://www.taiwan-seafood10.com,New Taipei City,New Taipei City,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood10, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Taipei Import & Export Corp #11,procurement11@taiwan-seafood11.com,https://www.taiwan-seafood11.com,Taipei,Taipei,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood11, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Kaohsiung Fine Foods Distribution #12,procurement12@taiwan-seafood12.com,https://www.taiwan-seafood12.com,Kaohsiung,Kaohsiung,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood12, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Taichung Asian Gourmet Mart #13,procurement13@taiwan-seafood13.com,https://www.taiwan-seafood13.com,Taichung,Taichung,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood13, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Tainan HORECA Procurement #14,procurement14@taiwan-seafood14.com,https://www.taiwan-seafood14.com,Tainan,Tainan,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood14, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan New Taipei City Seafood Wholesale & Logistics #15,procurement15@taiwan-seafood15.com,https://www.taiwan-seafood15.com,New Taipei City,New Taipei City,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood15, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Taipei Aquatic Foods Group #16,procurement16@taiwan-seafood16.com,https://www.taiwan-seafood16.com,Taipei,Taipei,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood16, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Kaohsiung Seafood Trading Co. #17,procurement17@taiwan-seafood17.com,https://www.taiwan-seafood17.com,Kaohsiung,Kaohsiung,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood17, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Taichung Global Seafoods Ltd #18,procurement18@taiwan-seafood18.com,https://www.taiwan-seafood18.com,Taichung,Taichung,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood18, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Tainan Import & Export Corp #19,procurement19@taiwan-seafood19.com,https://www.taiwan-seafood19.com,Tainan,Tainan,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood19, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan New Taipei City Fine Foods Distribution #20,procurement20@taiwan-seafood20.com,https://www.taiwan-seafood20.com,New Taipei City,New Taipei City,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood20, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Taipei Asian Gourmet Mart #21,procurement21@taiwan-seafood21.com,https://www.taiwan-seafood21.com,Taipei,Taipei,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood21, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Kaohsiung HORECA Procurement #22,procurement22@taiwan-seafood22.com,https://www.taiwan-seafood22.com,Kaohsiung,Kaohsiung,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood22, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Taichung Seafood Wholesale & Logistics #23,procurement23@taiwan-seafood23.com,https://www.taiwan-seafood23.com,Taichung,Taichung,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood23, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Tainan Aquatic Foods Group #24,procurement24@taiwan-seafood24.com,https://www.taiwan-seafood24.com,Tainan,Tainan,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood24, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan New Taipei City Seafood Trading Co. #25,procurement25@taiwan-seafood25.com,https://www.taiwan-seafood25.com,New Taipei City,New Taipei City,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood25, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Taipei Global Seafoods Ltd #26,procurement26@taiwan-seafood26.com,https://www.taiwan-seafood26.com,Taipei,Taipei,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood26, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Kaohsiung Import & Export Corp #27,procurement27@taiwan-seafood27.com,https://www.taiwan-seafood27.com,Kaohsiung,Kaohsiung,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood27, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Taichung Fine Foods Distribution #28,procurement28@taiwan-seafood28.com,https://www.taiwan-seafood28.com,Taichung,Taichung,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood28, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Tainan Asian Gourmet Mart #29,procurement29@taiwan-seafood29.com,https://www.taiwan-seafood29.com,Tainan,Tainan,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood29, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan New Taipei City HORECA Procurement #30,procurement30@taiwan-seafood30.com,https://www.taiwan-seafood30.com,New Taipei City,New Taipei City,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood30, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Taipei Seafood Wholesale & Logistics #31,procurement31@taiwan-seafood31.com,https://www.taiwan-seafood31.com,Taipei,Taipei,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood31, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Kaohsiung Aquatic Foods Group #32,procurement32@taiwan-seafood32.com,https://www.taiwan-seafood32.com,Kaohsiung,Kaohsiung,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood32, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Taichung Seafood Trading Co. #33,procurement33@taiwan-seafood33.com,https://www.taiwan-seafood33.com,Taichung,Taichung,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood33, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Tainan Global Seafoods Ltd #34,procurement34@taiwan-seafood34.com,https://www.taiwan-seafood34.com,Tainan,Tainan,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood34, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan New Taipei City Import & Export Corp #35,procurement35@taiwan-seafood35.com,https://www.taiwan-seafood35.com,New Taipei City,New Taipei City,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood35, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Taipei Fine Foods Distribution #36,procurement36@taiwan-seafood36.com,https://www.taiwan-seafood36.com,Taipei,Taipei,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood36, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Kaohsiung Asian Gourmet Mart #37,procurement37@taiwan-seafood37.com,https://www.taiwan-seafood37.com,Kaohsiung,Kaohsiung,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood37, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Taichung HORECA Procurement #38,procurement38@taiwan-seafood38.com,https://www.taiwan-seafood38.com,Taichung,Taichung,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood38, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Tainan Seafood Wholesale & Logistics #39,procurement39@taiwan-seafood39.com,https://www.taiwan-seafood39.com,Tainan,Tainan,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood39, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan New Taipei City Aquatic Foods Group #40,procurement40@taiwan-seafood40.com,https://www.taiwan-seafood40.com,New Taipei City,New Taipei City,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood40, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Taipei Seafood Trading Co. #41,procurement41@taiwan-seafood41.com,https://www.taiwan-seafood41.com,Taipei,Taipei,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood41, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Kaohsiung Global Seafoods Ltd #42,procurement42@taiwan-seafood42.com,https://www.taiwan-seafood42.com,Kaohsiung,Kaohsiung,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood42, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Taichung Import & Export Corp #43,procurement43@taiwan-seafood43.com,https://www.taiwan-seafood43.com,Taichung,Taichung,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood43, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Tainan Fine Foods Distribution #44,procurement44@taiwan-seafood44.com,https://www.taiwan-seafood44.com,Tainan,Tainan,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood44, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan New Taipei City Asian Gourmet Mart #45,procurement45@taiwan-seafood45.com,https://www.taiwan-seafood45.com,New Taipei City,New Taipei City,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood45, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Taipei HORECA Procurement #46,procurement46@taiwan-seafood46.com,https://www.taiwan-seafood46.com,Taipei,Taipei,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood46, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Kaohsiung Seafood Wholesale & Logistics #47,procurement47@taiwan-seafood47.com,https://www.taiwan-seafood47.com,Kaohsiung,Kaohsiung,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood47, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Taichung Aquatic Foods Group #48,procurement48@taiwan-seafood48.com,https://www.taiwan-seafood48.com,Taichung,Taichung,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood48, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Tainan Seafood Trading Co. #49,procurement49@taiwan-seafood49.com,https://www.taiwan-seafood49.com,Tainan,Tainan,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood49, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan New Taipei City Global Seafoods Ltd #50,procurement50@taiwan-seafood50.com,https://www.taiwan-seafood50.com,New Taipei City,New Taipei City,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood50, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Taipei Import & Export Corp #51,procurement51@taiwan-seafood51.com,https://www.taiwan-seafood51.com,Taipei,Taipei,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood51, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Kaohsiung Fine Foods Distribution #52,procurement52@taiwan-seafood52.com,https://www.taiwan-seafood52.com,Kaohsiung,Kaohsiung,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood52, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Taichung Asian Gourmet Mart #53,procurement53@taiwan-seafood53.com,https://www.taiwan-seafood53.com,Taichung,Taichung,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood53, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan Tainan HORECA Procurement #54,procurement54@taiwan-seafood54.com,https://www.taiwan-seafood54.com,Tainan,Tainan,Taiwan,WhatsApp / Business Chat,"LinkedIn /company/taiwan-seafood54, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Taiwan New Taipei City Seafood Wholesale & Logistics #55,procurement55@taiwan-seafood55.com,https://www.taiwan-seafood55.com,New Taipei City,New Taipei City,Taiwan,WeChat / LINE,"LinkedIn /company/taiwan-seafood55, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$30.50/kg (활), $29.50/kg (IQF)"
Malaysia Kuala Lumpur Seafood Trading Co. #1,procurement1@malaysia-seafood1.com,https://www.malaysia-seafood1.com,Kuala Lumpur,Kuala Lumpur,Malaysia,WeChat / LINE,"LinkedIn /company/malaysia-seafood1, Facebook",명품 건전복 / 통조림 (HS 030781 / HS 160557),"$138.00/500g (건), $14.50/캔"
Malaysia Penang Global Seafoods Ltd #2,procurement2@malaysia-seafood2.com,https://www.malaysia-seafood2.com,Penang,Penang,Malaysia,WhatsApp / Business Chat,"LinkedIn /company/malaysia-seafood2, Facebook",명품 건전복 / 통조림 (HS 030781 / HS 160557),"$138.00/500g (건), $14.50/캔"
