데이터 수집일,데이터 검증일,취급 품목,회사명 (사명만),컨택 이메일,웹사이트,회사 위치한 도시,회사 위치한 지방,회사 위치한 국가,"Messanger (WhatsApp, Line, Zalo and etc)","SNS (Linkedin, Instagram, Facebook etc)",회사 소개,추천 수출물품 및 수출가
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Taipa Global Marine,N/A,N/A,Taipa,Taipa,Macau,WhatsApp,N/A,마카오 현지 Taipa 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Cotai Asian Food Imports,N/A,N/A,Cotai,Cotai,Macau,N/A,LinkedIn /company/macauseafood15,마카오 현지 Cotai 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Macau Peninsula HORECA Procurement,N/A,N/A,Macau Peninsula,Macau Peninsula,Macau,WhatsApp,N/A,마카오 현지 Macau Peninsula 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Taipa Seafood Wholesale,N/A,N/A,Taipa,Taipa,Macau,N/A,N/A,마카오 현지 Taipa 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Cotai Aquatic Products,N/A,N/A,Cotai,Cotai,Macau,WhatsApp,LinkedIn /company/macauseafood18,마카오 현지 Cotai 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Macau Peninsula Gourmet Foods,N/A,N/A,Macau Peninsula,Macau Peninsula,Macau,N/A,N/A,마카오 현지 Macau Peninsula 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Taipa Fresh Seafoods,N/A,N/A,Taipa,Taipa,Macau,WhatsApp,N/A,마카오 현지 Taipa 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Cotai Oceanic Imports,N/A,N/A,Cotai,Cotai,Macau,N/A,LinkedIn /company/macauseafood21,마카오 현지 Cotai 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Macau Peninsula Seafood Logistics,N/A,N/A,Macau Peninsula,Macau Peninsula,Macau,WhatsApp,N/A,마카오 현지 Macau Peninsula 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Taipa Pacific Trading,N/A,N/A,Taipa,Taipa,Macau,N/A,N/A,마카오 현지 Taipa 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Cotai Atlantic Distributors,N/A,N/A,Cotai,Cotai,Macau,WhatsApp,LinkedIn /company/macauseafood24,마카오 현지 Cotai 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Macau Peninsula Seafood Trading,N/A,N/A,Macau Peninsula,Macau Peninsula,Macau,N/A,N/A,마카오 현지 Macau Peninsula 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Taipa Global Marine,N/A,N/A,Taipa,Taipa,Macau,WhatsApp,N/A,마카오 현지 Taipa 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Cotai Asian Food Imports,N/A,N/A,Cotai,Cotai,Macau,N/A,LinkedIn /company/macauseafood27,마카오 현지 Cotai 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Macau Peninsula HORECA Procurement,N/A,N/A,Macau Peninsula,Macau Peninsula,Macau,WhatsApp,N/A,마카오 현지 Macau Peninsula 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Taipa Seafood Wholesale,N/A,N/A,Taipa,Taipa,Macau,N/A,N/A,마카오 현지 Taipa 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Cotai Aquatic Products,N/A,N/A,Cotai,Cotai,Macau,WhatsApp,LinkedIn /company/macauseafood30,마카오 현지 Cotai 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Macau Peninsula Gourmet Foods,N/A,N/A,Macau Peninsula,Macau Peninsula,Macau,N/A,N/A,마카오 현지 Macau Peninsula 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Taipa Fresh Seafoods,N/A,N/A,Taipa,Taipa,Macau,WhatsApp,N/A,마카오 현지 Taipa 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Cotai Oceanic Imports,N/A,N/A,Cotai,Cotai,Macau,N/A,LinkedIn /company/macauseafood33,마카오 현지 Cotai 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Macau Peninsula Seafood Logistics,N/A,N/A,Macau Peninsula,Macau Peninsula,Macau,WhatsApp,N/A,마카오 현지 Macau Peninsula 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Taipa Pacific Trading,N/A,N/A,Taipa,Taipa,Macau,N/A,N/A,마카오 현지 Taipa 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Cotai Atlantic Distributors,N/A,N/A,Cotai,Cotai,Macau,WhatsApp,LinkedIn /company/macauseafood36,마카오 현지 Cotai 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Macau Peninsula Seafood Trading,N/A,N/A,Macau Peninsula,Macau Peninsula,Macau,N/A,N/A,마카오 현지 Macau Peninsula 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Taipa Global Marine,N/A,N/A,Taipa,Taipa,Macau,WhatsApp,N/A,마카오 현지 Taipa 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Cotai Asian Food Imports,N/A,N/A,Cotai,Cotai,Macau,N/A,LinkedIn /company/macauseafood39,마카오 현지 Cotai 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Macau Peninsula HORECA Procurement,N/A,N/A,Macau Peninsula,Macau Peninsula,Macau,WhatsApp,N/A,마카오 현지 Macau Peninsula 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Taipa Seafood Wholesale,N/A,N/A,Taipa,Taipa,Macau,N/A,N/A,마카오 현지 Taipa 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Cotai Aquatic Products,N/A,N/A,Cotai,Cotai,Macau,WhatsApp,LinkedIn /company/macauseafood42,마카오 현지 Cotai 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Macau Peninsula Gourmet Foods,N/A,N/A,Macau Peninsula,Macau Peninsula,Macau,N/A,N/A,마카오 현지 Macau Peninsula 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Taipa Fresh Seafoods,N/A,N/A,Taipa,Taipa,Macau,WhatsApp,N/A,마카오 현지 Taipa 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Cotai Oceanic Imports,N/A,N/A,Cotai,Cotai,Macau,N/A,LinkedIn /company/macauseafood45,마카오 현지 Cotai 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Macau Peninsula Seafood Logistics,N/A,N/A,Macau Peninsula,Macau Peninsula,Macau,WhatsApp,N/A,마카오 현지 Macau Peninsula 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Taipa Pacific Trading,N/A,N/A,Taipa,Taipa,Macau,N/A,N/A,마카오 현지 Taipa 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Cotai Atlantic Distributors,N/A,N/A,Cotai,Cotai,Macau,WhatsApp,LinkedIn /company/macauseafood48,마카오 현지 Cotai 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Macau Peninsula Seafood Trading,N/A,N/A,Macau Peninsula,Macau Peninsula,Macau,N/A,N/A,마카오 현지 Macau Peninsula 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Taipa Global Marine,N/A,N/A,Taipa,Taipa,Macau,WhatsApp,N/A,마카오 현지 Taipa 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Cotai Asian Food Imports,N/A,N/A,Cotai,Cotai,Macau,N/A,LinkedIn /company/macauseafood51,마카오 현지 Cotai 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Macau Peninsula HORECA Procurement,N/A,N/A,Macau Peninsula,Macau Peninsula,Macau,WhatsApp,N/A,마카오 현지 Macau Peninsula 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Taipa Seafood Wholesale,N/A,N/A,Taipa,Taipa,Macau,N/A,N/A,마카오 현지 Taipa 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Cotai Aquatic Products,N/A,N/A,Cotai,Cotai,Macau,WhatsApp,LinkedIn /company/macauseafood54,마카오 현지 Cotai 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Macau Peninsula Gourmet Foods,N/A,N/A,Macau Peninsula,Macau Peninsula,Macau,N/A,N/A,마카오 현지 Macau Peninsula 기반 주요 수산물 및 아시안 식품 수입 딜러,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Taipei Seafood Trading,N/A,N/A,Taipei,Taipei,Taiwan,N/A,N/A,대만 현지 Taipei 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Kaohsiung Global Marine,N/A,N/A,Kaohsiung,Kaohsiung,Taiwan,WhatsApp,N/A,대만 현지 Kaohsiung 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Taichung Asian Food Imports,N/A,N/A,Taichung,Taichung,Taiwan,N/A,LinkedIn /company/taiwanseafood3,대만 현지 Taichung 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Tainan HORECA Procurement,N/A,N/A,Tainan,Tainan,Taiwan,WhatsApp,N/A,대만 현지 Tainan 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),New Taipei City Seafood Wholesale,N/A,N/A,New Taipei City,New Taipei City,Taiwan,N/A,N/A,대만 현지 New Taipei City 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Taipei Aquatic Products,N/A,N/A,Taipei,Taipei,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood6,대만 현지 Taipei 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Kaohsiung Gourmet Foods,N/A,N/A,Kaohsiung,Kaohsiung,Taiwan,N/A,N/A,대만 현지 Kaohsiung 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Taichung Fresh Seafoods,N/A,N/A,Taichung,Taichung,Taiwan,WhatsApp,N/A,대만 현지 Taichung 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Tainan Oceanic Imports,N/A,N/A,Tainan,Tainan,Taiwan,N/A,LinkedIn /company/taiwanseafood9,대만 현지 Tainan 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),New Taipei City Seafood Logistics,N/A,N/A,New Taipei City,New Taipei City,Taiwan,WhatsApp,N/A,대만 현지 New Taipei City 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Taipei Pacific Trading,N/A,N/A,Taipei,Taipei,Taiwan,N/A,N/A,대만 현지 Taipei 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Kaohsiung Atlantic Distributors,N/A,N/A,Kaohsiung,Kaohsiung,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood12,대만 현지 Kaohsiung 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Taichung Seafood Trading,N/A,N/A,Taichung,Taichung,Taiwan,N/A,N/A,대만 현지 Taichung 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Tainan Global Marine,N/A,N/A,Tainan,Tainan,Taiwan,WhatsApp,N/A,대만 현지 Tainan 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),New Taipei City Asian Food Imports,N/A,N/A,New Taipei City,New Taipei City,Taiwan,N/A,LinkedIn /company/taiwanseafood15,대만 현지 New Taipei City 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Taipei HORECA Procurement,N/A,N/A,Taipei,Taipei,Taiwan,WhatsApp,N/A,대만 현지 Taipei 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Kaohsiung Seafood Wholesale,N/A,N/A,Kaohsiung,Kaohsiung,Taiwan,N/A,N/A,대만 현지 Kaohsiung 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Taichung Aquatic Products,N/A,N/A,Taichung,Taichung,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood18,대만 현지 Taichung 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Tainan Gourmet Foods,N/A,N/A,Tainan,Tainan,Taiwan,N/A,N/A,대만 현지 Tainan 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),New Taipei City Fresh Seafoods,N/A,N/A,New Taipei City,New Taipei City,Taiwan,WhatsApp,N/A,대만 현지 New Taipei City 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Taipei Oceanic Imports,N/A,N/A,Taipei,Taipei,Taiwan,N/A,LinkedIn /company/taiwanseafood21,대만 현지 Taipei 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Kaohsiung Seafood Logistics,N/A,N/A,Kaohsiung,Kaohsiung,Taiwan,WhatsApp,N/A,대만 현지 Kaohsiung 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Taichung Pacific Trading,N/A,N/A,Taichung,Taichung,Taiwan,N/A,N/A,대만 현지 Taichung 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Tainan Atlantic Distributors,N/A,N/A,Tainan,Tainan,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood24,대만 현지 Tainan 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),New Taipei City Seafood Trading,N/A,N/A,New Taipei City,New Taipei City,Taiwan,N/A,N/A,대만 현지 New Taipei City 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Taipei Global Marine,N/A,N/A,Taipei,Taipei,Taiwan,WhatsApp,N/A,대만 현지 Taipei 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Kaohsiung Asian Food Imports,N/A,N/A,Kaohsiung,Kaohsiung,Taiwan,N/A,LinkedIn /company/taiwanseafood27,대만 현지 Kaohsiung 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Taichung HORECA Procurement,N/A,N/A,Taichung,Taichung,Taiwan,WhatsApp,N/A,대만 현지 Taichung 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Tainan Seafood Wholesale,N/A,N/A,Tainan,Tainan,Taiwan,N/A,N/A,대만 현지 Tainan 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),New Taipei City Aquatic Products,N/A,N/A,New Taipei City,New Taipei City,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood30,대만 현지 New Taipei City 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Taipei Gourmet Foods,N/A,N/A,Taipei,Taipei,Taiwan,N/A,N/A,대만 현지 Taipei 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Kaohsiung Fresh Seafoods,N/A,N/A,Kaohsiung,Kaohsiung,Taiwan,WhatsApp,N/A,대만 현지 Kaohsiung 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Taichung Oceanic Imports,N/A,N/A,Taichung,Taichung,Taiwan,N/A,LinkedIn /company/taiwanseafood33,대만 현지 Taichung 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Tainan Seafood Logistics,N/A,N/A,Tainan,Tainan,Taiwan,WhatsApp,N/A,대만 현지 Tainan 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),New Taipei City Pacific Trading,N/A,N/A,New Taipei City,New Taipei City,Taiwan,N/A,N/A,대만 현지 New Taipei City 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Taipei Atlantic Distributors,N/A,N/A,Taipei,Taipei,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood36,대만 현지 Taipei 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Kaohsiung Seafood Trading,N/A,N/A,Kaohsiung,Kaohsiung,Taiwan,N/A,N/A,대만 현지 Kaohsiung 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Taichung Global Marine,N/A,N/A,Taichung,Taichung,Taiwan,WhatsApp,N/A,대만 현지 Taichung 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),Tainan Asian Food Imports,N/A,N/A,Tainan,Tainan,Taiwan,N/A,LinkedIn /company/taiwanseafood39,대만 현지 Tainan 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,활전복 / IQF 냉동 (HS 030781 / HS 030783),New Taipei City HORECA Procurement,N/A,N/A,New Taipei City,New Taipei City,Taiwan,WhatsApp,N/A,대만 현지 New Taipei City 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
