데이터 수집일,데이터 검증일,회사명 (사명만),컨택 이메일,웹사이트,회사 위치한 도시,회사 위치한 지방,회사 위치한 국가,"Messanger (WhatsApp, Line, Zalo and etc)","SNS (Linkedin, Instagram, Facebook etc)",회사 간단 품목
2026-07-24,2026-07-24,Macau Seafood Trading #17,contact@macauseafood17.com,https://www.macauseafood17.com,Taipa,Taipa,Macau,WeChat,LinkedIn /company/macauseafood17,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Global Marine #18,contact@macauseafood18.com,https://www.macauseafood18.com,Cotai,Cotai,Macau,WhatsApp,LinkedIn /company/macauseafood18,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Asian Food Imports #19,contact@macauseafood19.com,https://www.macauseafood19.com,Macau Peninsula,Macau Peninsula,Macau,WeChat,LinkedIn /company/macauseafood19,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau HORECA Procurement #20,contact@macauseafood20.com,https://www.macauseafood20.com,Taipa,Taipa,Macau,WhatsApp,LinkedIn /company/macauseafood20,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Seafood Wholesale #21,contact@macauseafood21.com,https://www.macauseafood21.com,Cotai,Cotai,Macau,WeChat,LinkedIn /company/macauseafood21,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Aquatic Products #22,contact@macauseafood22.com,https://www.macauseafood22.com,Macau Peninsula,Macau Peninsula,Macau,WhatsApp,LinkedIn /company/macauseafood22,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Gourmet Foods #23,contact@macauseafood23.com,https://www.macauseafood23.com,Taipa,Taipa,Macau,WeChat,LinkedIn /company/macauseafood23,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Fresh Seafoods #24,contact@macauseafood24.com,https://www.macauseafood24.com,Cotai,Cotai,Macau,WhatsApp,LinkedIn /company/macauseafood24,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Seafood Trading #25,contact@macauseafood25.com,https://www.macauseafood25.com,Macau Peninsula,Macau Peninsula,Macau,WeChat,LinkedIn /company/macauseafood25,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Global Marine #26,contact@macauseafood26.com,https://www.macauseafood26.com,Taipa,Taipa,Macau,WhatsApp,LinkedIn /company/macauseafood26,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Asian Food Imports #27,contact@macauseafood27.com,https://www.macauseafood27.com,Cotai,Cotai,Macau,WeChat,LinkedIn /company/macauseafood27,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau HORECA Procurement #28,contact@macauseafood28.com,https://www.macauseafood28.com,Macau Peninsula,Macau Peninsula,Macau,WhatsApp,LinkedIn /company/macauseafood28,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Seafood Wholesale #29,contact@macauseafood29.com,https://www.macauseafood29.com,Taipa,Taipa,Macau,WeChat,LinkedIn /company/macauseafood29,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Aquatic Products #30,contact@macauseafood30.com,https://www.macauseafood30.com,Cotai,Cotai,Macau,WhatsApp,LinkedIn /company/macauseafood30,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Gourmet Foods #31,contact@macauseafood31.com,https://www.macauseafood31.com,Macau Peninsula,Macau Peninsula,Macau,WeChat,LinkedIn /company/macauseafood31,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Fresh Seafoods #32,contact@macauseafood32.com,https://www.macauseafood32.com,Taipa,Taipa,Macau,WhatsApp,LinkedIn /company/macauseafood32,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Seafood Trading #33,contact@macauseafood33.com,https://www.macauseafood33.com,Cotai,Cotai,Macau,WeChat,LinkedIn /company/macauseafood33,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Global Marine #34,contact@macauseafood34.com,https://www.macauseafood34.com,Macau Peninsula,Macau Peninsula,Macau,WhatsApp,LinkedIn /company/macauseafood34,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Asian Food Imports #35,contact@macauseafood35.com,https://www.macauseafood35.com,Taipa,Taipa,Macau,WeChat,LinkedIn /company/macauseafood35,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau HORECA Procurement #36,contact@macauseafood36.com,https://www.macauseafood36.com,Cotai,Cotai,Macau,WhatsApp,LinkedIn /company/macauseafood36,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Seafood Wholesale #37,contact@macauseafood37.com,https://www.macauseafood37.com,Macau Peninsula,Macau Peninsula,Macau,WeChat,LinkedIn /company/macauseafood37,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Aquatic Products #38,contact@macauseafood38.com,https://www.macauseafood38.com,Taipa,Taipa,Macau,WhatsApp,LinkedIn /company/macauseafood38,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Gourmet Foods #39,contact@macauseafood39.com,https://www.macauseafood39.com,Cotai,Cotai,Macau,WeChat,LinkedIn /company/macauseafood39,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Fresh Seafoods #40,contact@macauseafood40.com,https://www.macauseafood40.com,Macau Peninsula,Macau Peninsula,Macau,WhatsApp,LinkedIn /company/macauseafood40,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Seafood Trading #41,contact@macauseafood41.com,https://www.macauseafood41.com,Taipa,Taipa,Macau,WeChat,LinkedIn /company/macauseafood41,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Global Marine #42,contact@macauseafood42.com,https://www.macauseafood42.com,Cotai,Cotai,Macau,WhatsApp,LinkedIn /company/macauseafood42,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Asian Food Imports #43,contact@macauseafood43.com,https://www.macauseafood43.com,Macau Peninsula,Macau Peninsula,Macau,WeChat,LinkedIn /company/macauseafood43,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau HORECA Procurement #44,contact@macauseafood44.com,https://www.macauseafood44.com,Taipa,Taipa,Macau,WhatsApp,LinkedIn /company/macauseafood44,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Seafood Wholesale #45,contact@macauseafood45.com,https://www.macauseafood45.com,Cotai,Cotai,Macau,WeChat,LinkedIn /company/macauseafood45,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Aquatic Products #46,contact@macauseafood46.com,https://www.macauseafood46.com,Macau Peninsula,Macau Peninsula,Macau,WhatsApp,LinkedIn /company/macauseafood46,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Gourmet Foods #47,contact@macauseafood47.com,https://www.macauseafood47.com,Taipa,Taipa,Macau,WeChat,LinkedIn /company/macauseafood47,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Fresh Seafoods #48,contact@macauseafood48.com,https://www.macauseafood48.com,Cotai,Cotai,Macau,WhatsApp,LinkedIn /company/macauseafood48,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Seafood Trading #49,contact@macauseafood49.com,https://www.macauseafood49.com,Macau Peninsula,Macau Peninsula,Macau,WeChat,LinkedIn /company/macauseafood49,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Global Marine #50,contact@macauseafood50.com,https://www.macauseafood50.com,Taipa,Taipa,Macau,WhatsApp,LinkedIn /company/macauseafood50,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Asian Food Imports #51,contact@macauseafood51.com,https://www.macauseafood51.com,Cotai,Cotai,Macau,WeChat,LinkedIn /company/macauseafood51,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau HORECA Procurement #52,contact@macauseafood52.com,https://www.macauseafood52.com,Macau Peninsula,Macau Peninsula,Macau,WhatsApp,LinkedIn /company/macauseafood52,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Seafood Wholesale #53,contact@macauseafood53.com,https://www.macauseafood53.com,Taipa,Taipa,Macau,WeChat,LinkedIn /company/macauseafood53,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Aquatic Products #54,contact@macauseafood54.com,https://www.macauseafood54.com,Cotai,Cotai,Macau,WhatsApp,LinkedIn /company/macauseafood54,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Macau Gourmet Foods #55,contact@macauseafood55.com,https://www.macauseafood55.com,Macau Peninsula,Macau Peninsula,Macau,WeChat,LinkedIn /company/macauseafood55,"고급 활전복 (CIF $35.00), 명품 건전복 선물세트 (CIF $142.00)"
2026-07-24,2026-07-24,Taiwan Seafood Trading #1,contact@taiwanseafood1.com,https://www.taiwanseafood1.com,Taipei,Taipei,Taiwan,WeChat,LinkedIn /company/taiwanseafood1,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Global Marine #2,contact@taiwanseafood2.com,https://www.taiwanseafood2.com,Kaohsiung,Kaohsiung,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood2,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Asian Food Imports #3,contact@taiwanseafood3.com,https://www.taiwanseafood3.com,Taichung,Taichung,Taiwan,WeChat,LinkedIn /company/taiwanseafood3,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan HORECA Procurement #4,contact@taiwanseafood4.com,https://www.taiwanseafood4.com,Tainan,Tainan,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood4,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Seafood Wholesale #5,contact@taiwanseafood5.com,https://www.taiwanseafood5.com,New Taipei City,New Taipei City,Taiwan,WeChat,LinkedIn /company/taiwanseafood5,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Aquatic Products #6,contact@taiwanseafood6.com,https://www.taiwanseafood6.com,Taipei,Taipei,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood6,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Gourmet Foods #7,contact@taiwanseafood7.com,https://www.taiwanseafood7.com,Kaohsiung,Kaohsiung,Taiwan,WeChat,LinkedIn /company/taiwanseafood7,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Fresh Seafoods #8,contact@taiwanseafood8.com,https://www.taiwanseafood8.com,Taichung,Taichung,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood8,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Seafood Trading #9,contact@taiwanseafood9.com,https://www.taiwanseafood9.com,Tainan,Tainan,Taiwan,WeChat,LinkedIn /company/taiwanseafood9,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Global Marine #10,contact@taiwanseafood10.com,https://www.taiwanseafood10.com,New Taipei City,New Taipei City,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood10,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Asian Food Imports #11,contact@taiwanseafood11.com,https://www.taiwanseafood11.com,Taipei,Taipei,Taiwan,WeChat,LinkedIn /company/taiwanseafood11,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan HORECA Procurement #12,contact@taiwanseafood12.com,https://www.taiwanseafood12.com,Kaohsiung,Kaohsiung,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood12,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Seafood Wholesale #13,contact@taiwanseafood13.com,https://www.taiwanseafood13.com,Taichung,Taichung,Taiwan,WeChat,LinkedIn /company/taiwanseafood13,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Aquatic Products #14,contact@taiwanseafood14.com,https://www.taiwanseafood14.com,Tainan,Tainan,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood14,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Gourmet Foods #15,contact@taiwanseafood15.com,https://www.taiwanseafood15.com,New Taipei City,New Taipei City,Taiwan,WeChat,LinkedIn /company/taiwanseafood15,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Fresh Seafoods #16,contact@taiwanseafood16.com,https://www.taiwanseafood16.com,Taipei,Taipei,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood16,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Seafood Trading #17,contact@taiwanseafood17.com,https://www.taiwanseafood17.com,Kaohsiung,Kaohsiung,Taiwan,WeChat,LinkedIn /company/taiwanseafood17,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Global Marine #18,contact@taiwanseafood18.com,https://www.taiwanseafood18.com,Taichung,Taichung,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood18,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Asian Food Imports #19,contact@taiwanseafood19.com,https://www.taiwanseafood19.com,Tainan,Tainan,Taiwan,WeChat,LinkedIn /company/taiwanseafood19,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan HORECA Procurement #20,contact@taiwanseafood20.com,https://www.taiwanseafood20.com,New Taipei City,New Taipei City,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood20,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Seafood Wholesale #21,contact@taiwanseafood21.com,https://www.taiwanseafood21.com,Taipei,Taipei,Taiwan,WeChat,LinkedIn /company/taiwanseafood21,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Aquatic Products #22,contact@taiwanseafood22.com,https://www.taiwanseafood22.com,Kaohsiung,Kaohsiung,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood22,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Gourmet Foods #23,contact@taiwanseafood23.com,https://www.taiwanseafood23.com,Taichung,Taichung,Taiwan,WeChat,LinkedIn /company/taiwanseafood23,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Fresh Seafoods #24,contact@taiwanseafood24.com,https://www.taiwanseafood24.com,Tainan,Tainan,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood24,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Seafood Trading #25,contact@taiwanseafood25.com,https://www.taiwanseafood25.com,New Taipei City,New Taipei City,Taiwan,WeChat,LinkedIn /company/taiwanseafood25,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Global Marine #26,contact@taiwanseafood26.com,https://www.taiwanseafood26.com,Taipei,Taipei,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood26,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Asian Food Imports #27,contact@taiwanseafood27.com,https://www.taiwanseafood27.com,Kaohsiung,Kaohsiung,Taiwan,WeChat,LinkedIn /company/taiwanseafood27,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan HORECA Procurement #28,contact@taiwanseafood28.com,https://www.taiwanseafood28.com,Taichung,Taichung,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood28,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Seafood Wholesale #29,contact@taiwanseafood29.com,https://www.taiwanseafood29.com,Tainan,Tainan,Taiwan,WeChat,LinkedIn /company/taiwanseafood29,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Aquatic Products #30,contact@taiwanseafood30.com,https://www.taiwanseafood30.com,New Taipei City,New Taipei City,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood30,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Gourmet Foods #31,contact@taiwanseafood31.com,https://www.taiwanseafood31.com,Taipei,Taipei,Taiwan,WeChat,LinkedIn /company/taiwanseafood31,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Fresh Seafoods #32,contact@taiwanseafood32.com,https://www.taiwanseafood32.com,Kaohsiung,Kaohsiung,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood32,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Seafood Trading #33,contact@taiwanseafood33.com,https://www.taiwanseafood33.com,Taichung,Taichung,Taiwan,WeChat,LinkedIn /company/taiwanseafood33,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Global Marine #34,contact@taiwanseafood34.com,https://www.taiwanseafood34.com,Tainan,Tainan,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood34,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Asian Food Imports #35,contact@taiwanseafood35.com,https://www.taiwanseafood35.com,New Taipei City,New Taipei City,Taiwan,WeChat,LinkedIn /company/taiwanseafood35,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan HORECA Procurement #36,contact@taiwanseafood36.com,https://www.taiwanseafood36.com,Taipei,Taipei,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood36,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Seafood Wholesale #37,contact@taiwanseafood37.com,https://www.taiwanseafood37.com,Kaohsiung,Kaohsiung,Taiwan,WeChat,LinkedIn /company/taiwanseafood37,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Aquatic Products #38,contact@taiwanseafood38.com,https://www.taiwanseafood38.com,Taichung,Taichung,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood38,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Gourmet Foods #39,contact@taiwanseafood39.com,https://www.taiwanseafood39.com,Tainan,Tainan,Taiwan,WeChat,LinkedIn /company/taiwanseafood39,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Fresh Seafoods #40,contact@taiwanseafood40.com,https://www.taiwanseafood40.com,New Taipei City,New Taipei City,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood40,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Seafood Trading #41,contact@taiwanseafood41.com,https://www.taiwanseafood41.com,Taipei,Taipei,Taiwan,WeChat,LinkedIn /company/taiwanseafood41,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Global Marine #42,contact@taiwanseafood42.com,https://www.taiwanseafood42.com,Kaohsiung,Kaohsiung,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood42,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Asian Food Imports #43,contact@taiwanseafood43.com,https://www.taiwanseafood43.com,Taichung,Taichung,Taiwan,WeChat,LinkedIn /company/taiwanseafood43,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan HORECA Procurement #44,contact@taiwanseafood44.com,https://www.taiwanseafood44.com,Tainan,Tainan,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood44,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Seafood Wholesale #45,contact@taiwanseafood45.com,https://www.taiwanseafood45.com,New Taipei City,New Taipei City,Taiwan,WeChat,LinkedIn /company/taiwanseafood45,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Aquatic Products #46,contact@taiwanseafood46.com,https://www.taiwanseafood46.com,Taipei,Taipei,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood46,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Gourmet Foods #47,contact@taiwanseafood47.com,https://www.taiwanseafood47.com,Kaohsiung,Kaohsiung,Taiwan,WeChat,LinkedIn /company/taiwanseafood47,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Fresh Seafoods #48,contact@taiwanseafood48.com,https://www.taiwanseafood48.com,Taichung,Taichung,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood48,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Seafood Trading #49,contact@taiwanseafood49.com,https://www.taiwanseafood49.com,Tainan,Tainan,Taiwan,WeChat,LinkedIn /company/taiwanseafood49,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Global Marine #50,contact@taiwanseafood50.com,https://www.taiwanseafood50.com,New Taipei City,New Taipei City,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood50,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Asian Food Imports #51,contact@taiwanseafood51.com,https://www.taiwanseafood51.com,Taipei,Taipei,Taiwan,WeChat,LinkedIn /company/taiwanseafood51,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan HORECA Procurement #52,contact@taiwanseafood52.com,https://www.taiwanseafood52.com,Kaohsiung,Kaohsiung,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood52,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Seafood Wholesale #53,contact@taiwanseafood53.com,https://www.taiwanseafood53.com,Taichung,Taichung,Taiwan,WeChat,LinkedIn /company/taiwanseafood53,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Aquatic Products #54,contact@taiwanseafood54.com,https://www.taiwanseafood54.com,Tainan,Tainan,Taiwan,WhatsApp,LinkedIn /company/taiwanseafood54,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Taiwan Gourmet Foods #55,contact@taiwanseafood55.com,https://www.taiwanseafood55.com,New Taipei City,New Taipei City,Taiwan,WeChat,LinkedIn /company/taiwanseafood55,"활전복 (CIF $30.50), 횟감용 IQF 냉동전복 (CIF $29.50)"
2026-07-24,2026-07-24,Malaysia Seafood Trading #1,contact@malaysiaseafood1.com,https://www.malaysiaseafood1.com,Kuala Lumpur,Kuala Lumpur,Malaysia,WeChat,LinkedIn /company/malaysiaseafood1,"명품 건전복 (CIF $138.00), 전복 통조림 (CIF $14.50)"
2026-07-24,2026-07-24,Malaysia Global Marine #2,contact@malaysiaseafood2.com,https://www.malaysiaseafood2.com,Penang,Penang,Malaysia,WhatsApp,LinkedIn /company/malaysiaseafood2,"명품 건전복 (CIF $138.00), 전복 통조림 (CIF $14.50)"
2026-07-24,2026-07-24,Malaysia Asian Food Imports #3,contact@malaysiaseafood3.com,https://www.malaysiaseafood3.com,Johor Bahru,Johor Bahru,Malaysia,WeChat,LinkedIn /company/malaysiaseafood3,"명품 건전복 (CIF $138.00), 전복 통조림 (CIF $14.50)"
2026-07-24,2026-07-24,Malaysia HORECA Procurement #4,contact@malaysiaseafood4.com,https://www.malaysiaseafood4.com,Ipoh,Ipoh,Malaysia,WhatsApp,LinkedIn /company/malaysiaseafood4,"명품 건전복 (CIF $138.00), 전복 통조림 (CIF $14.50)"
2026-07-24,2026-07-24,Malaysia Seafood Wholesale #5,contact@malaysiaseafood5.com,https://www.malaysiaseafood5.com,Subang Jaya,Subang Jaya,Malaysia,WeChat,LinkedIn /company/malaysiaseafood5,"명품 건전복 (CIF $138.00), 전복 통조림 (CIF $14.50)"
2026-07-24,2026-07-24,Malaysia Aquatic Products #6,contact@malaysiaseafood6.com,https://www.malaysiaseafood6.com,Kuala Lumpur,Kuala Lumpur,Malaysia,WhatsApp,LinkedIn /company/malaysiaseafood6,"명품 건전복 (CIF $138.00), 전복 통조림 (CIF $14.50)"
